OBS Stamps,PDS Time,Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 5 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressed,Pedal 6 Pressed,Pedal 7 Pressed
1721332111666666666,1721332111657547400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111700000000,1721332111698084900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111733333333,1721332111719083900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111766666666,1721332111760090800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111800000000,1721332111784597800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111833333333,1721332111825598300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111866666666,1721332111866604000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111900000000,1721332111890782100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111933333333,1721332111931781000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332111966666666,1721332111952780500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112000000000,1721332111997834800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112033333333,1721332112017831600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112066666666,1721332112058831000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112100000000,1721332112079936200,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112133333333,1721332112124937400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112166666666,1721332112165577000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112200000000,1721332112186094800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112233333333,1721332112231306300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112266666666,1721332112251305600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112300000000,1721332112292519300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112333333333,1721332112316519400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112366666666,1721332112357519600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112400000000,1721332112399035600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112433333333,1721332112423035900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112466666666,1721332112464042000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112500000000,1721332112484554300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112533333333,1721332112525554300,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112566666666,1721332112550138600,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112600000000,1721332112591660700,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112633333333,1721332112632662100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112666666666,1721332112656664400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112700000000,1721332112698304400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112733333333,1721332112718307100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112766666666,1721332112763312800,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112800000000,1721332112783823400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112833333333,1721332112824823000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112866666666,1721332112845822900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112900000000,1721332112890336400,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112933333333,1721332112931350100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332112966666666,1721332112951334100,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113000000000,1721332112997863500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113033333333,1721332113017144900,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113066666666,1721332113058145500,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113100000000,1721332113082652200,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1721332113133333333,1721332113123653000,-1,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
