server_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_atime,video_time,video_id,3d_camera_time,3d_camera_frame_id,smartwatch_1_time,smartwatch_1_wrist_position,smartwatch_1_sensor_type,smartwatch_1_value_X_Axis,smartwatch_1_value_Y_Axis,smartwatch_1_value_Z_Axis,smartwatch_2_time,smartwatch_2_wrist_position,smartwatch_2_sensor_type,smartwatch_2_value_X_Axis,smartwatch_2_value_Y_Axis,smartwatch_2_value_Z_Axis,PDS_time,pedal_1,pedal_2,pedal_3,pedal_4,pedal_5,pedal_6,pedal_7
1719962220975659300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598105438,left,acc,-1.5179238319396973,5.264849662780762,8.056488990783691,-2,-2,-2,-2,-2,-2,-2,-2
1719962221009450300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598105523,left,acc,-1.6831238269805908,5.30076265335083,7.987056732177734,-2,-2,-2,-2,-2,-2,-2,-2
1719962221043179400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598105623,left,acc,-1.4915876388549805,5.183446884155273,8.054094314575195,-2,-2,-2,-2,-2,-2,-2,-2
1719962221086613400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598105743,left,acc,-1.644816517829895,5.185841083526611,8.02536392211914,-2,-2,-2,-2,-2,-2,-2,-2
1719962221133487700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598105884,left,acc,-1.5945383310317993,5.228936672210693,7.994239330291748,-2,-2,-2,-2,-2,-2,-2,-2
1719962221180361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106024,left,acc,-1.6304513216018677,5.200206279754639,8.070854187011719,-2,-2,-2,-2,-2,-2,-2,-2
1719962221227235200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106124,left,acc,-1.6496049165725708,5.238513469696045,8.044517517089844,-2,-2,-2,-2,-2,-2,-2,-2
1719962221274105900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106245,left,acc,-1.659181833267212,5.200206279754639,8.02536392211914,-2,-2,-2,-2,-2,-2,-2,-2
1719962221307487700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106305,left,acc,-1.6065093278884888,5.2911858558654785,8.166622161865234,-2,-2,-2,-2,-2,-2,-2,-2
1719962221351996800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106385,left,acc,-1.5298948287963867,5.1331682205200195,7.91283655166626,-2,-2,-2,-2,-2,-2,-2,-2
1719962221389362100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106467,left,acc,-1.656787633895874,5.260061264038086,8.068459510803223,-2,-2,-2,-2,-2,-2,-2,-2
1719962221422826000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106486,left,acc,-1.6089035272598267,5.178658485412598,7.982268333435059,-2,-2,-2,-2,-2,-2,-2,-2
1719962221456407600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106506,left,acc,-1.5083470344543457,5.2480902671813965,8.030152320861816,-2,-2,-2,-2,-2,-2,-2,-2
1719962221490137300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106568,left,acc,-1.6639702320098877,5.140350818634033,8.022970199584961,-2,-2,-2,-2,-2,-2,-2,-2
1719962221523508900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106626,left,acc,-1.623268723487854,5.250484466552734,8.027758598327637,-2,-2,-2,-2,-2,-2,-2,-2
1719962221557053600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106706,left,acc,-1.6089035272598267,5.252878665924072,8.030152320861816,-2,-2,-2,-2,-2,-2,-2,-2
1719962221590836300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106787,left,acc,-1.6519991159439087,5.22175407409668,7.833827972412109,-2,-2,-2,-2,-2,-2,-2,-2
1719962221624213800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106868,left,acc,-1.5203180313110352,5.102043628692627,7.939172744750977,-2,-2,-2,-2,-2,-2,-2,-2
1719962221657559300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598106947,left,acc,-1.6041151285171509,5.2265424728393555,8.08043098449707,-2,-2,-2,-2,-2,-2,-2,-2
1719962221691363100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107008,left,acc,-1.6328455209732056,5.1810526847839355,7.86734676361084,-2,-2,-2,-2,-2,-2,-2,-2
1719962221725173600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107095,left,acc,-1.6735470294952393,5.463568210601807,7.977479934692383,-2,-2,-2,-2,-2,-2,-2,-2
1719962221758514900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107149,left,acc,-1.5969325304031372,5.2672438621521,7.972691535949707,-2,-2,-2,-2,-2,-2,-2,-2
1719962221791859200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107228,left,acc,-1.7597382068634033,5.726930618286133,7.73087739944458,-2,-2,-2,-2,-2,-2,-2,-2
1719962221825689800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107309,left,acc,-1.5155296325683594,5.252878665924072,7.996633529663086,-2,-2,-2,-2,-2,-2,-2,-2
1719962221872803100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107409,left,acc,-1.577778935432434,5.240907669067383,8.200140953063965,-2,-2,-2,-2,-2,-2,-2,-2
1719962221906172000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107489,left,acc,-1.6879122257232666,5.286397457122803,7.994239330291748,-2,-2,-2,-2,-2,-2,-2,-2
1719962221940243100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107570,left,acc,-1.522712230682373,5.351040840148926,8.003816604614258,-2,-2,-2,-2,-2,-2,-2,-2
1719962221973787400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107629,left,acc,-1.6950948238372803,5.286397457122803,7.939172744750977,-2,-2,-2,-2,-2,-2,-2,-2
1719962222022783300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107730,left,acc,-1.5275006294250488,5.169081687927246,8.092401504516602,-2,-2,-2,-2,-2,-2,-2,-2
1719962222056228200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107790,left,acc,-2.011129379272461,5.5114521980285645,7.891288757324219,-2,-2,-2,-2,-2,-2,-2,-2
1719962222090226200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107852,left,acc,-1.5705963373184204,5.535394191741943,7.881711959838867,-2,-2,-2,-2,-2,-2,-2,-2
1719962222123561200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107912,left,acc,-1.6615760326385498,5.243301868438721,7.8960771560668945,-2,-2,-2,-2,-2,-2,-2,-2
1719962222156910100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598107972,left,acc,-1.6711528301239014,5.236119270324707,7.862558364868164,-2,-2,-2,-2,-2,-2,-2,-2
1719962222190701300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108072,left,acc,-1.6639702320098877,5.317522048950195,7.977479934692383,-2,-2,-2,-2,-2,-2,-2,-2
1719962222237699400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108173,left,acc,-1.8052281141281128,5.322310447692871,7.898471355438232,-2,-2,-2,-2,-2,-2,-2,-2
1719962222284540100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108273,left,acc,-1.659181833267212,5.305551052093506,7.927201747894287,-2,-2,-2,-2,-2,-2,-2,-2
1719962222318186300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108333,left,acc,-1.6687586307525635,5.252878665924072,7.9631147384643555,-2,-2,-2,-2,-2,-2,-2,-2
1719962222362689600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108413,left,acc,-1.6400281190872192,5.252878665924072,7.833827972412109,-2,-2,-2,-2,-2,-2,-2,-2
1719962222409566400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108512,left,acc,-1.5729905366897583,5.331887245178223,7.9415669441223145,-2,-2,-2,-2,-2,-2,-2,-2
1719962222456440500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108633,left,acc,-1.4077905416488647,6.3063273429870605,8.109161376953125,-2,-2,-2,-2,-2,-2,-2,-2
1719962222489977300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108693,left,acc,-1.6831238269805908,5.566518783569336,8.236053466796875,-2,-2,-2,-2,-2,-2,-2,-2
1719962222523449100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108775,left,acc,-1.7549498081207275,5.1810526847839355,7.845798969268799,-2,-2,-2,-2,-2,-2,-2,-2
1719962222557084300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108835,left,acc,-1.5969325304031372,5.365406036376953,8.066065788269043,-2,-2,-2,-2,-2,-2,-2,-2
1719962222590717800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108915,left,acc,-1.5514427423477173,5.231330871582031,7.975085735321045,-2,-2,-2,-2,-2,-2,-2,-2
1719962222624352000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598108995,left,acc,-1.6328455209732056,5.157110691070557,8.145073890686035,-2,-2,-2,-2,-2,-2,-2,-2
1719962222657967300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109076,left,acc,-1.580173134803772,5.475539207458496,8.01339340209961,-2,-2,-2,-2,-2,-2,-2,-2
1719962222691552300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109115,left,acc,-1.259350061416626,5.295974254608154,7.876923561096191,-2,-2,-2,-2,-2,-2,-2,-2
1719962222725138200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109095,left,acc,-1.4724340438842773,5.25527286529541,7.934384346008301,-2,-2,-2,-2,-2,-2,-2,-2
1719962222758728400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109196,left,acc,-1.400607943534851,5.319916248321533,7.8745293617248535,-2,-2,-2,-2,-2,-2,-2,-2
1719962222792317900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109256,left,acc,-0.6799532771110535,5.118803024291992,8.190564155578613,-2,-2,-2,-2,-2,-2,-2,-2
1719962222825907400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109336,left,acc,-0.8020575642585754,4.987122058868408,8.14028549194336,-2,-2,-2,-2,-2,-2,-2,-2
1719962222859586600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109396,left,acc,-0.7110779285430908,4.9368438720703125,8.169015884399414,-2,-2,-2,-2,-2,-2,-2,-2
1719962222893172400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109480,left,acc,-0.047884032130241394,4.793191909790039,8.370129585266113,-2,-2,-2,-2,-2,-2,-2,-2
1719962222926757200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109538,left,acc,-0.07900865375995636,4.642356872558594,8.631096839904785,-2,-2,-2,-2,-2,-2,-2,-2
1719962222960340300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109624,left,acc,0.19393034279346466,4.651933670043945,8.377311706542969,-2,-2,-2,-2,-2,-2,-2,-2
1719962222993921600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109698,left,acc,0.22505496442317963,4.702212333679199,8.552088737487793,-2,-2,-2,-2,-2,-2,-2,-2
1719962223027508400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109757,left,acc,0.2082955539226532,4.697423934936523,8.434772491455078,-2,-2,-2,-2,-2,-2,-2,-2
1719962223061096200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109839,left,acc,0.16759411990642548,4.630385875701904,8.578424453735352,-2,-2,-2,-2,-2,-2,-2,-2
1719962223094685700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598109939,left,acc,0.24899697303771973,4.774038314819336,8.315062522888184,-2,-2,-2,-2,-2,-2,-2,-2
1719962223128268600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110000,left,acc,0.4572925269603729,4.525041103363037,8.497021675109863,-2,-2,-2,-2,-2,-2,-2,-2
1719962223161850500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110060,left,acc,0.849941611289978,4.611232280731201,8.44195556640625,-2,-2,-2,-2,-2,-2,-2,-2
1719962223195626800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110140,left,acc,0.8403648138046265,4.2975921630859375,8.362946510314941,-2,-2,-2,-2,-2,-2,-2,-2
1719962223229260800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110220,left,acc,1.5083470344543457,4.383783340454102,8.549694061279297,-2,-2,-2,-2,-2,-2,-2,-2
1719962223262906900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110301,left,acc,1.41257905960083,4.908113479614258,8.128314971923828,-2,-2,-2,-2,-2,-2,-2,-2
1719962223296546200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110382,left,acc,0.9816226959228516,5.669469833374023,7.6782050132751465,-2,-2,-2,-2,-2,-2,-2,-2
1719962223330184500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110442,left,acc,0.6368576288223267,5.70777702331543,8.157045364379883,-2,-2,-2,-2,-2,-2,-2,-2
1719962223363730300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110520,left,acc,0.9528923034667969,4.72376012802124,8.458714485168457,-2,-2,-2,-2,-2,-2,-2,-2
1719962223397392100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110581,left,acc,0.4644751250743866,4.888959884643555,8.291120529174805,-2,-2,-2,-2,-2,-2,-2,-2
1719962223430805300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110663,left,acc,0.4189853072166443,4.934449672698975,8.382100105285645,-2,-2,-2,-2,-2,-2,-2,-2
1719962223464449200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110742,left,acc,0.2992752194404602,4.891354084014893,8.674192428588867,-2,-2,-2,-2,-2,-2,-2,-2
1719962223498463400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110802,left,acc,-0.08140286058187485,4.671087741851807,8.461109161376953,-2,-2,-2,-2,-2,-2,-2,-2
1719962223538727300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598110903,left,acc,-0.12449848651885986,4.8267107009887695,8.525752067565918,-2,-2,-2,-2,-2,-2,-2,-2
1719962223585602500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111000,left,acc,-0.26575639843940735,4.8937482833862305,8.322244644165039,-2,-2,-2,-2,-2,-2,-2,-2
1719962223632478200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111125,left,acc,-0.35434186458587646,4.836287498474121,8.40843677520752,-2,-2,-2,-2,-2,-2,-2,-2
1719962223679352300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111224,left,acc,-0.2298433631658554,4.879383087158203,8.389283180236816,-2,-2,-2,-2,-2,-2,-2,-2
1719962223726227400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111340,left,acc,-0.45250412821769714,5.0685248374938965,8.322244644165039,-2,-2,-2,-2,-2,-2,-2,-2
1719962223773530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111426,left,acc,-0.3687070608139038,5.056553840637207,8.293514251708984,-2,-2,-2,-2,-2,-2,-2,-2
1719962223820404100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111570,left,acc,-0.4884171485900879,4.934449672698975,8.355764389038086,-2,-2,-2,-2,-2,-2,-2,-2
1719962223867279200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111595,left,acc,-0.35434186458587646,4.967968463897705,8.29830265045166,-2,-2,-2,-2,-2,-2,-2,-2
1719962223914558400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111574,left,acc,-0.4429273009300232,4.967968463897705,8.362946510314941,-2,-2,-2,-2,-2,-2,-2,-2
1719962223961729900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111573,left,acc,-0.38546648621559143,4.924872875213623,8.382100105285645,-2,-2,-2,-2,-2,-2,-2,-2
1719962223995093700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111563,left,acc,-0.4644751250743866,4.953603267669678,8.446743965148926,-2,-2,-2,-2,-2,-2,-2,-2
1719962224039582300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111488,left,acc,-0.33518823981285095,4.972756862640381,8.310274124145508,-2,-2,-2,-2,-2,-2,-2,-2
1719962224086454300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111461,left,acc,-0.3663128614425659,4.98472785949707,8.4108304977417,-2,-2,-2,-2,-2,-2,-2,-2
1719962224120425900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111441,left,acc,-0.3758896589279175,5.0469770431518555,8.2312650680542,-2,-2,-2,-2,-2,-2,-2,-2
1719962224156052900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111406,left,acc,-0.36152446269989014,5.020640850067139,8.305485725402832,-2,-2,-2,-2,-2,-2,-2,-2
1719962224189403500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111392,left,acc,-0.3447650372982025,4.987122058868408,8.248024940490723,-2,-2,-2,-2,-2,-2,-2,-2
1719962224222841600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111361,left,acc,-0.363918662071228,5.037400245666504,8.329427719116211,-2,-2,-2,-2,-2,-2,-2,-2
1719962224256473700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111320,left,acc,-0.4118026793003082,4.946420669555664,8.315062522888184,-2,-2,-2,-2,-2,-2,-2,-2
1719962224290177100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111300,left,acc,-0.40222588181495667,4.948814868927002,8.315062522888184,-2,-2,-2,-2,-2,-2,-2,-2
1719962224323540600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708598111281,left,acc,-0.40940847992897034,4.9368438720703125,8.358158111572266,-2,-2,-2,-2,-2,-2,-2,-2
