server_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,video_time,video_id,intel_time,intel_frame,smartwatch_1_time,smartwatch_1_wrist_position,smartwatch_1_sensor_type,smartwatch_1_value_X_Axis,smartwatch_1_value_Y_Axis,smartwatch_1_value_Z_Axis,smartwatch_2_time,smartwatch_2_wrist_position,smartwatch_2_sensor_type,smartwatch_2_value_X_Axis,smartwatch_2_value_Y_Axis,smartwatch_2_value_Z_Axis,PDS_time,pedal_1,pedal_2,pedal_3,pedal_4,pedal_5,pedal_6,pedal_7,pedal_1_pressed,pedal_2_pressed,pedal_3_pressed,pedal_4_pressed,pedal_5_pressed,pedal_6_pressed,pedal_7_pressed,zed_time,zed_frame
1721412391396023900,85,0,559.891406,-174.352148,-218.888965,18.083496,54.206543,136.164551,1721412391.3633,88,1,531.986133,-101.01709,-218.330859,-177.714844,-29.157715,119.20166,1721412391.3633,86,2,403.845117,-74.116406,-125.350488,-150.930176,10.217285,145.26123,1721412391.3633,87,3,383.976562,-140.307715,-214.424121,171.013184,-10.59082,-92.724609,1721412391.3633,0,0,1721412391375026900,200,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391389023600,-1,-1
1721412391429539300,85,0,559.779785,-174.240527,-219.558691,18.193359,54.18457,136.274414,1721412391.3963,88,1,532.097754,-100.793848,-218.330859,-177.626953,-29.091797,119.091797,1721412391.3963,86,2,403.956738,-74.004785,-125.350488,-150.88623,10.239258,145.26123,1721412391.3963,87,3,383.976562,-140.307715,-214.424121,171.035156,-10.568848,-92.746582,1721412391.3963,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391414028500,-1,-1
1721412391463555500,85,0,559.891406,-174.46377,-219.781934,18.171387,54.228516,136.318359,1721412391.4294,88,1,532.320996,-101.240332,-218.219238,-177.714844,-29.047852,119.003906,1721412391.4294,86,2,403.845117,-74.116406,-125.462109,-150.908203,10.217285,145.26123,1721412391.4294,87,3,383.976562,-140.307715,-214.535742,171.035156,-10.59082,-92.768555,1721412391.4294,0,0,1721412391442538900,201,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391463555500,-1,-1
1721412391497538000,85,0,559.779785,-174.46377,-219.781934,17.995605,54.250488,136.098633,1721412391.4956,88,1,532.320996,-100.682227,-218.219238,-177.626953,-29.025879,119.069824,1721412391.4956,86,2,403.733496,-74.004785,-125.57373,-150.88623,10.195312,145.26123,1721412391.4956,87,3,383.75332,-140.084473,-214.647363,171.079102,-10.634766,-92.768555,1721412391.4956,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391483566700,-1,-1
1721412391531060100,85,0,559.779785,-174.46377,-219.781934,18.017578,54.250488,136.098633,1721412391.4992,88,1,532.320996,-100.682227,-218.219238,-177.626953,-29.003906,119.047852,1721412391.4992,86,2,403.733496,-74.004785,-125.57373,-150.88623,10.195312,145.26123,1721412391.4992,87,3,383.75332,-140.084473,-214.647363,171.079102,-10.634766,-92.790527,1721412391.4992,0,0,1721412391508538800,202,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391508538800,-1,-1
1721412391565060500,85,0,559.668164,-174.46377,-219.670312,18.061523,54.206543,136.208496,1721412391.5323,88,1,532.320996,-101.128711,-217.884375,-177.692871,-28.937988,118.981934,1721412391.5323,86,2,403.733496,-74.004785,-125.57373,-150.88623,10.195312,145.26123,1721412391.5323,87,3,383.75332,-140.196094,-214.535742,171.057129,-10.612793,-92.8125,1721412391.5323,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391557061800,-1,-1
1721412391599060900,85,0,559.444922,-174.575391,-219.781934,18.061523,54.272461,136.230469,1721412391.5654,88,1,532.209375,-101.463574,-217.661133,-177.802734,-28.959961,119.047852,1721412391.5654,86,2,403.733496,-74.116406,-125.57373,-150.908203,10.195312,145.26123,1721412391.5654,87,3,383.641699,-140.307715,-214.535742,171.013184,-10.612793,-92.768555,1721412391.5654,0,0,1721412391575060400,203,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391582060500,-1,-1
1721412391632604000,85,0,559.444922,-174.798633,-219.335449,17.95166,54.228516,136.120605,1721412391.5985,88,1,532.209375,-101.575195,-217.437891,-177.802734,-28.894043,119.11377,1721412391.5985,86,2,403.733496,-74.116406,-125.462109,-150.88623,10.195312,145.283203,1721412391.5985,87,3,383.641699,-140.419336,-214.424121,171.013184,-10.568848,-92.746582,1721412391.5985,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391631589800,-1,-1
1721412391666578500,85,0,559.556543,-175.021875,-218.777344,17.929688,54.118652,136.142578,1721412391.6315,88,1,532.320996,-101.910059,-217.103027,-177.802734,-28.828125,119.069824,1721412391.6315,86,2,403.845117,-74.228027,-125.350488,-150.908203,10.239258,145.305176,1721412391.6315,87,3,383.75332,-140.419336,-214.200879,171.013184,-10.524902,-92.768555,1721412391.6315,0,0,1721412391642579200,204,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391651577300,-1,-1
1721412391700578300,85,0,559.668164,-175.691602,-217.995996,17.775879,54.052734,136.098633,1721412391.6683,88,1,532.320996,-102.356543,-217.103027,-177.912598,-28.87207,119.11377,1721412391.6683,86,2,403.733496,-74.45127,-125.238867,-150.974121,10.26123,145.305176,1721412391.6683,87,3,383.75332,-140.419336,-214.200879,171.013184,-10.568848,-92.768555,1721412391.6683,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.69,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391676577100,-1,-1
1721412391734097300,85,0,559.668164,-175.803223,-217.661133,17.731934,54.030762,136.054688,1721412391.7014,88,1,532.209375,-102.468164,-216.991406,-177.93457,-28.87207,119.20166,1721412391.7014,86,2,403.733496,-74.45127,-125.238867,-150.974121,10.239258,145.327148,1721412391.7014,87,3,383.641699,-140.419336,-214.200879,171.013184,-10.568848,-92.746582,1721412391.7014,0,0,1721412391708579500,205,0,0,0,0,0,0,0,0,0,0,0,0,-1,25.9,-1,-1,-1,-1,11.0,0,0,0,0,0,0,0,1721412391725584900,-1,-1
