Pedal 1 Pressure,Pedal 2 Pressure,Pedal 3 Pressure,Pedal 4 Pressure,Pedal 6 Pressure,Pedal 7 Pressure,Pedal 1 Pressed,Pedal 2 Pressed,Pedal 3 Pressed,Pedal 4 Pressed,Pedal 5 Pressesd,Pedal 6 Pressed,Pedal 7 Pressed,Computer Time
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199365988480500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366009036800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366034038400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366054068000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366075033700
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366095038500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366115545400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366135579300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366156579200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366176579800
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366197617900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366222197200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366242201400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366263197300
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366283203500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366303802400
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366325095100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366344832100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366365831900
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366389876600
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366410451200
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366430442500
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366451454100
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366472409000
-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720199366492482900
