sw_epoch_ms,wrist_position,sensor_type,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
1721412423539,right,gyro,0.01466076634824276,0.02932153269648552,0.024434609338641167,seq,15.0,1721412416820798200
1721412423540,right,acc,-1.9057846069335938,-9.402029991149902,2.343923568725586,seq,16.0,1721412416836667000
1721412423541,right,gyro,0.0,0.03176499158143997,0.01710422709584236,seq,16.0,1721412416847676000
1721412423544,right,acc,-1.8626888990402222,-9.50737476348877,2.2816741466522217,seq,17.0,1721412416853719900
1721412423545,right,gyro,-0.00366519158706069,0.04398229718208313,0.02321287989616394,seq,17.0,1721412416898756400
1721412423562,right,acc,-1.8411411046981812,-9.397241592407227,2.432508945465088,seq,18.0,1721412416907738400
1721412423564,right,gyro,0.00366519158706069,0.051312681287527084,0.018325956538319588,seq,18.0,1721412416911845100
1721412423583,right,acc,-1.946485996246338,-9.397241592407227,2.3774423599243164,seq,19.0,1721412416935743100
1721412423584,right,gyro,0.0012217304902151227,0.05253441259264946,0.012217304669320583,seq,19.0,1721412416951990200
1721412423602,right,acc,-1.9345149993896484,-9.402029991149902,2.315192937850952,seq,20.0,1721412416962106800
1721412423604,right,gyro,0.0024434609804302454,0.06230825558304787,0.012217304669320583,seq,20.0,1721412416967102600
1721412423623,right,acc,-1.9273324012756348,-9.378087997436523,2.2673089504241943,seq,21.0,1721412416971426700
1721412423625,right,gyro,0.012217304669320583,0.05009094998240471,-0.0012217304902151227,seq,21.0,1721412416982427000
1721412423642,right,acc,-1.9321208000183105,-9.337387084960938,2.365471363067627,seq,22.0,1721412416990603100
1721412423643,right,gyro,-0.004886921960860491,0.04886921867728233,-0.0024434609804302454,seq,22.0,1721412416995608000
1721412423662,right,acc,-1.900996208190918,-9.454702377319336,2.3295583724975586,seq,23.0,1721412416998621100
1721412423664,right,gyro,-0.02687807008624077,0.042760565876960754,-0.009773843921720982,seq,23.0,1721412417005612500
1721412423682,right,acc,-1.8602946996688843,-9.569623947143555,2.3535003662109375,seq,24.0,1721412417014635200
1721412423684,right,gyro,-0.010995574295520782,0.04153883829712868,0.0012217304902151227,seq,24.0,1721412417017644000
1721412423702,right,acc,-1.7836803197860718,-9.48343276977539,2.3487119674682617,seq,25.0,1721412417020620700
1721412423703,right,gyro,0.03420845419168472,0.0403171069920063,0.012217304669320583,seq,25.0,1721412417034621000
1721412423723,right,acc,-1.8387469053268433,-9.404424667358398,2.27209734916687,seq,26.0,1721412417052763600
1721412423725,right,gyro,0.06108652427792549,0.05619960278272629,0.010995574295520782,seq,26.0,1721412417067258900
1721412423742,right,acc,-1.9393033981323242,-9.411606788635254,2.2218191623687744,seq,27.0,1721412417071373800
1721412423743,right,gyro,0.0354301854968071,0.07941248267889023,0.006108652334660292,seq,27.0,1721412417082358400
1721412423762,right,acc,-1.8722656965255737,-9.512163162231445,2.229001760482788,seq,28.0,1721412417086373500
1721412423763,right,gyro,-0.004886921960860491,0.06108652427792549,0.018325956538319588,seq,28.0,1721412417092287100
1721412423783,right,acc,-1.6711528301239014,-9.495404243469238,2.3798365592956543,seq,29.0,1721412417095376600
1721412423784,right,gyro,-0.004886921960860491,0.06108652427792549,0.024434609338641167,seq,29.0,1721412417100370300
1721412423802,right,acc,-1.8195933103561401,-9.600749015808105,2.3535003662109375,seq,30.0,1721412417105266700
1721412423804,right,gyro,0.0659734457731247,0.07452555745840073,0.036651913076639175,seq,30.0,1721412417115267100
1721412423823,right,acc,-1.946485996246338,-9.5624418258667,2.3798365592956543,seq,31.0,1721412417130283900
1721412423824,right,gyro,0.1270599663257599,0.09896016865968704,0.059864792972803116,seq,31.0,1721412417133289600
1721412423851,right,acc,-1.6735470294952393,-9.224859237670898,2.3535003662109375,seq,32.0,1721412417139304500
1721412423852,right,gyro,0.1514945775270462,0.0757472887635231,0.07941248267889023,seq,32.0,1721412417147305600
1721412423866,right,acc,-1.335964560508728,-9.452308654785156,2.449268341064453,seq,33.0,1721412417153320200
