server_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,trakstar_SensorID,trakstar_Status,trakstar_x,trakstar_y,trakstar_z,trakstar_azimuth,trakstar_elevation,trakstar_roll,trakstar_time,video_time,video_id,3d_camera_time,3d_camera_frame_id,smartwatch_1_time,smartwatch_1_wrist_position,smartwatch_1_sensor_type,smartwatch_1_value_X_Axis,smartwatch_1_value_Y_Axis,smartwatch_1_value_Z_Axis,smartwatch_2_time,smartwatch_2_wrist_position,smartwatch_2_sensor_type,smartwatch_2_value_X_Axis,smartwatch_2_value_Y_Axis,smartwatch_2_value_Z_Axis,PDS_time,pedal_1,pedal_2,pedal_3,pedal_4,pedal_5,pedal_6,pedal_7,pedal_1_pressed,pedal_2_pressed,pedal_3_pressed,pedal_4_pressed,pedal_5_pressed,pedal_6_pressed,pedal_7_pressed
1720460421388940900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731491,right,acc,0.2561795711517334,-0.07182604819536209,9.792284965515137,1669385661533,right,gyro,0.0024434609804302454,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420576455300
1720460421423047600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731536,right,gyro,0.00366519158706069,-0.0024434609804302454,-0.004886921960860491,1669385661591,right,acc,0.040701430290937424,-0.05027823522686958,9.730035781860352,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460420576455300
1720460421457320500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731571,right,acc,0.26815059781074524,-0.10295066982507706,9.816226959228516,1669385661614,right,gyro,-0.0012217304902151227,0.0012217304902151227,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421446738800
1720460421491079100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731592,right,gyro,0.006108652334660292,-0.0012217304902151227,-0.00366519158706069,1669385661655,right,gyro,0.0,-0.0012217304902151227,0.0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421471908700
1720460421525397600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731632,right,gyro,0.004886921960860491,-0.0012217304902151227,-0.004886921960860491,1669385661693,right,acc,0.040701430290937424,-0.040701430290937424,9.799467086791992,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421512797100
1720460421559625800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731670,right,acc,0.15322890877723694,-0.06703764945268631,9.780313491821289,1669385661733,right,acc,0.014365210197865963,0.021547814831137657,9.75637149810791,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421554075600
1720460421593324300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731712,right,acc,0.2561795711517334,-0.11013327538967133,9.775525093078613,1669385661755,right,gyro,0.00366519158706069,0.0,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421574263100
1720460421626916300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731731,right,gyro,0.00366519158706069,0.0012217304902151227,-0.00366519158706069,1669385661793,right,acc,0.10295066982507706,0.0,9.77791976928711,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421619417300
1720460421660442800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731773,right,gyro,0.00733038317412138,-0.0012217304902151227,-0.004886921960860491,1669385661835,right,gyro,-0.00366519158706069,0.0024434609804302454,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421660442800
1720460421693970400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731814,right,gyro,0.004886921960860491,-0.0024434609804302454,-0.004886921960860491,1669385661874,right,gyro,0.004886921960860491,-0.0012217304902151227,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421681472800
1720460421727670200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731852,right,acc,0.17956513166427612,-0.10534487664699554,9.780313491821289,1669385661914,right,acc,0.08140286058187485,-0.10055647045373917,9.782708168029785,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421722088600
1720460421761347700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731891,right,acc,0.2106897532939911,-0.05267243832349777,9.782708168029785,1669385661935,right,gyro,0.00366519158706069,-0.0012217304902151227,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421742208900
1720460421795557300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731914,right,gyro,0.004886921960860491,0.0,-0.004886921960860491,1669385661974,right,gyro,0.0012217304902151227,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421783510200
1720460421829791700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731953,right,gyro,0.006108652334660292,-0.0012217304902151227,-0.004886921960860491,1669385662014,right,acc,0.0454898327589035,-0.08379705995321274,9.768342971801758,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421827810200
1720460421863419700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731973,right,gyro,0.0012217304902151227,-0.0012217304902151227,-0.004886921960860491,1669385662035,right,gyro,0.0012217304902151227,0.0012217304902151227,0.0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421848838200
1720460421896866400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119731992,right,acc,0.2106897532939911,-0.1173158809542656,9.794678688049316,1669385662056,right,acc,-0.06703764945268631,-0.11971008777618408,9.734824180603027,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421889292000
1720460421931107600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732033,right,gyro,0.004886921960860491,-0.0024434609804302454,-0.004886921960860491,1669385662075,right,gyro,-0.0024434609804302454,0.0012217304902151227,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421930076500
1720460421964851600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732073,right,acc,0.18914192914962769,-0.11252748221158981,9.761159896850586,1669385662110,right,gyro,0.0,0.0012217304902151227,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421951196900
1720460421999131300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732094,right,gyro,0.006108652334660292,-0.0012217304902151227,-0.004886921960860491,1669385662152,right,acc,0.0454898327589035,-0.035913024097681046,9.763554573059082,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460421996097300
1720460422033433800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732133,right,gyro,0.006108652334660292,-0.0012217304902151227,-0.004886921960860491,1669385662192,right,acc,0.05027823522686958,-0.1149216815829277,9.739612579345703,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422016853500
1720460422067473600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732174,right,gyro,0.006108652334660292,0.0012217304902151227,-0.004886921960860491,1669385662213,right,gyro,0.0012217304902151227,-0.0012217304902151227,-0.0012217304902151227,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422057966400
1720460422101545600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709119732214,right,acc,0.21547815203666687,-0.08619125932455063,9.78989028930664,1669385662212,right,acc,0.05267243832349777,-0.12210428714752197,9.768342971801758,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1720460422099035400
