Threshold,Pedal,Error %,Precision,Recall,False Positives,False Negatives,True Positives,True Negatives,Total Samples,FP %,FN %
1500,Upper Right,0.11609369521932117,0.8198614318706697,0.7845303867403315,312,390,1420,602562,604684,0.051597197875253846,0.06449649734406732
1500,Lower Left,0.05093569533839163,0.109375,0.0673076923076923,114,194,14,604362,604684,0.018852822300573523,0.0320828730378181
1500,Lower Right,0.7357561966250141,0.4834751632693449,0.570527790751985,2610,1839,2443,597792,604684,0.4316304053026044,0.30412579132240974
1500,Total,0.2342959297748907,0.5655471289274107,0.6293896006028636,3208,2459,4176,2408893,2418736,0.13263125864087688,0.1016646711340138
1750,Upper Left,0.033240502477327,0.6443965517241379,0.8925373134328358,165,36,299,604184,604684,0.02728697964556694,0.005953522831760059
1750,Upper Right,0.1155975683166745,0.821283979178716,0.7845303867403315,309,390,1420,602565,604684,0.051101070972607174,0.06449649734406732
1750,Lower Left,0.04944731463045161,0.11764705882352941,0.0673076923076923,105,194,14,604371,604684,0.017364441592633506,0.0320828730378181
1750,Lower Right,0.6576988972752711,0.5344166102459942,0.5530126109294722,2063,1914,2368,598339,604684,0.34116993338669455,0.3165289638885765
1750,Total,0.21399607067493104,0.6081862672401008,0.6180859080633007,2642,2534,4101,2409459,2418736,0.10923060639937553,0.1047654642755555
2000,Upper Left,0.03274437557468033,0.6492374727668845,0.8895522388059701,161,37,298,604188,604684,0.026625477108704713,0.006118898465975617
2000,Upper Right,0.11609369521932117,0.8209733487833141,0.7828729281767955,309,393,1417,602565,604684,0.051101070972607174,0.064992624246714
2000,Lower Left,0.04911656336202049,0.11965811965811966,0.0673076923076923,103,194,14,604373,604684,0.017033690324202395,0.0320828730378181
2000,Lower Right,0.6522415013461577,0.5400663821716454,0.5319943951424568,1940,2004,2278,598462,604684,0.320828730378181,0.33141277096797667
2000,Total,0.21254903387554494,0.6145705521472392,0.6039186134137151,2513,2628,4007,2409588,2418736,0.10389724219592382,0.1086517916796211
2250,Upper Left,0.032413624306249215,0.6527472527472528,0.8865671641791045,158,38,297,604191,604684,0.02612935020605804,0.006284274100191174
2250,Upper Right,0.11708594902461451,0.8207217694994179,0.7790055248618785,308,400,1410,602566,604684,0.05093569533839163,0.06615025368622289
2250,Lower Left,0.04911656336202049,0.11304347826086956,0.0625,102,195,13,604374,604684,0.016868314689986837,0.03224824867203366
2250,Lower Right,0.6358693135588175,0.5539372994322389,0.5240541802895843,1807,2038,2244,598595,604684,0.2988337710275119,0.33703554253130563
2250,Total,0.2086213625629254,0.6253352263764,0.5974378296910324,2375,2671,3964,2409726,2418736,0.0981917828154871,0.11042957974743833
2500,Upper Left,0.03075986796409364,0.6681715575620768,0.8835820895522388,147,39,296,604202,604684,0.024310218229686913,0.006449649734406731
2500,Upper Right,0.11824357846412341,0.820738137082601,0.7740331491712708,306,409,1401,602568,604684,0.050604944069960515,0.0676386343941629
2500,Lower Left,0.04977806589888272,0.08108108108108109,0.04326923076923077,102,199,9,604374,604684,0.016868314689986837,0.03290975120889588
2500,Lower Right,0.630411917629704,0.5616474291710388,0.5,1671,2141,2141,598731,604684,0.2763426847741961,0.354069232855508
2500,Total,0.207298357489201,0.6334595751687798,0.5798040693293143,2226,2788,3847,2409875,2418736,0.0920315404409576,0.11526681704824339
2750,Upper Left,0.030098365427231412,0.6742596810933941,0.8835820895522388,143,39,296,604206,604684,0.023648715692824684,0.006449649734406731
2750,Upper Right,0.11840895409833897,0.8213866039952996,0.7723756906077348,304,412,1398,602570,604684,0.050274192801529394,0.06813476129680958
2750,Lower Left,0.04994344153309828,0.07272727272727272,0.038461538461538464,102,200,8,604374,604684,0.016868314689986837,0.033075126843111445
2750,Lower Right,0.6279312831164707,0.5648222400427693,0.49346099953292855,1628,2169,2113,598774,604684,0.26923153250292714,0.3586997506135436
2750,Total,0.20659551104378485,0.6366822429906542,0.5749811605124341,2177,2820,3815,2409924,2418736,0.09000568892181701,0.11658982212196783
3000,Upper Left,0.028775360353506953,0.6867749419953596,0.8835820895522388,135,39,296,604214,604684,0.022325710619100225,0.006449649734406731
3000,Upper Right,0.12105496424578788,0.8208333333333333,0.7618784530386741,301,431,1379,602573,604684,0.04977806589888272,0.07127689834690516
