wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,server_epoch_ms
left,0.0,-0.0036651915870606,-0.0024434609804302,seq,16621.0,1721412755405557000
left,0.0171042270958423,-0.0097738439217209,0.0012217304902151,seq,16622.0,1721412755425745800
left,0.0024434609804302,-0.0146607663482427,0.0,seq,16623.0,1721412755438745200
left,-0.0158824957907199,-0.0024434609804302,-0.0012217304902151,seq,16624.0,1721412755452441800
left,-0.0036651915870606,-0.0085521135479211,-0.0036651915870606,seq,16625.0,1721412755475385800
left,0.0171042270958423,-0.0085521135479211,0.0012217304902151,seq,16626.0,1721412755491372700
left,0.0073303831741213,-0.0122173046693205,0.0061086523346602,seq,16627.0,1721412755511397200
left,-0.0183259565383195,-0.0024434609804302,0.0048869219608604,seq,16628.0,1721412755540018600
left,-0.0219911485910415,0.0012217304902151,0.0048869219608604,seq,16629.0,1721412755560083400
left,-0.0061086523346602,-0.0134390350431203,0.0134390350431203,seq,16630.0,1721412755574091400
left,-0.0085521135479211,0.0,0.0085521135479211,seq,16631.0,1721412755596089700
left,-0.0097738439217209,-0.0024434609804302,-0.0012217304902151,seq,16632.0,1721412755612091500
left,0.0073303831741213,0.0048869219608604,-0.0012217304902151,seq,16633.0,1721412755640249100
left,-0.0012217304902151,0.0,0.0,seq,16634.0,1721412755653355600
left,-0.0354301854968071,-0.0085521135479211,0.0134390350431203,seq,16635.0,1721412755671289000
left,-0.0268780700862407,-0.0171042270958423,0.0146607663482427,seq,16636.0,1721412755690249900
left,-0.0097738439217209,-0.0085521135479211,0.0134390350431203,seq,16637.0,1721412755712658600
left,-0.0280998013913631,-0.0061086523346602,0.0012217304902151,seq,16638.0,1721412755740212700
left,-0.0048869219608604,-0.0048869219608604,0.0012217304902151,seq,16639.0,1721412755756521100
left,0.0134390350431203,0.0,-0.0024434609804302,seq,16640.0,1721412755772563500
left,0.0244346093386411,0.0036651915870606,0.0012217304902151,seq,16641.0,1721412755798549100
left,-0.0073303831741213,0.0036651915870606,0.0061086523346602,seq,16642.0,1721412755822555100
left,-0.0280998013913631,0.0085521135479211,0.0048869219608604,seq,16643.0,1721412755841293400
left,-0.0109955742955207,0.0061086523346602,0.0048869219608604,seq,16644.0,1721412755853282300
left,0.0134390350431203,0.0134390350431203,0.0048869219608604,seq,16645.0,1721412755871258800
left,0.0024434609804302,0.0146607663482427,-0.0012217304902151,seq,16646.0,1721412755893263400
left,-0.0048869219608604,0.0048869219608604,-0.0036651915870606,seq,16647.0,1721412755929375800
left,0.0207694191485643,0.0158824957907199,-0.0012217304902151,seq,16648.0,1721412755956622000
left,0.0134390350431203,0.0024434609804302,0.0048869219608604,seq,16649.0,1721412755970689600
left,-0.0293215326964855,-0.0122173046693205,0.0134390350431203,seq,16650.0,1721412755985653300
left,-0.0329867228865623,0.0085521135479211,0.0048869219608604,seq,16651.0,1721412755995680900
left,0.0158824957907199,-0.0048869219608604,-0.0109955742955207,seq,16652.0,1721412756011695700
left,0.0329867228865623,0.0171042270958423,-0.0207694191485643,seq,16653.0,1721412756030743800
left,0.098960168659687,0.0158824957907199,-0.0500909499824047,seq,16654.0,1721412756055427400
left,0.090408056974411,0.0207694191485643,-0.0610865242779254,seq,16655.0,1721412756073392800
left,0.157603234052658,-0.0012217304902151,-0.098960168659687,seq,16656.0,1721412756096452700
left,0.2284636050462722,-0.0219911485910415,-0.090408056974411,seq,16657.0,1721412756114451400
left,0.2871066629886627,-0.0146607663482427,-0.1368338167667389,seq,16658.0,1721412756136505800
left,0.3530801236629486,0.0171042270958423,-0.1759291887283325,seq,16659.0,1721412756157790200
left,0.4972442984580993,0.0183259565383195,-0.2040289938449859,seq,16660.0,1721412756173742000
left,0.5925393104553223,0.0378736443817615,-0.2724458873271942,seq,16661.0,1721412756205737100
left,0.6597344875335693,0.0378736443817615,-0.2871066629886627,seq,16662.0,1721412756256481300
left,0.6255260109901428,0.0171042270958423,-0.294437050819397,seq,16663.0,1721412756460962800
left,0.6059783101081848,0.0403171069920063,-0.3139847218990326,seq,16664.0,1721412756475925200
left,0.6768386960029602,-0.0048869219608604,-0.3445279896259308,seq,16665.0,1721412756496962600
left,0.8527678847312927,0.0061086523346602,-0.3897320330142975,seq,16666.0,1721412756508984200
left,1.1227703094482422,0.0476474873721599,-0.4337143301963806,seq,16667.0,1721412756519925400
left,1.330464482307434,0.0561996027827262,-0.4948008358478546,seq,16668.0,1721412756529102100
left,1.3781119585037231,0.0207694191485643,-0.5571091175079346,seq,16669.0,1721412756546621700
left,1.4734070301055908,-0.0207694191485643,-0.598647952079773,seq,16670.0,1721412756556545600
