sw_epoch_ms,wrist_position,sensor_type,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num,Watch Time
1721412611963,left,gyro,0.025656340643763542,-0.0012217304902151227,-0.021991148591041565,seq,8580.0,1721412594153355100
1721412611980,left,acc,-1.482010841369629,-3.8546648025512695,8.808267593383789,seq,8581.0,1721412594169384100
1721412611982,left,gyro,-0.0012217304902151227,-0.00855211354792118,-0.004886921960860491,seq,8581.0,1721412594173324400
1721412611999,left,acc,-1.5634137392044067,-3.9432501792907715,8.868123054504395,seq,8582.0,1721412594189342800
1721412612003,left,gyro,-0.010995574295520782,-0.015882495790719986,-0.004886921960860491,seq,8582.0,1721412594199390900
1721412612021,left,acc,-1.5131354331970215,-4.015076160430908,8.688557624816895,seq,8583.0,1721412594208382100
1721412612023,left,gyro,0.00855211354792118,-0.00366519158706069,-0.0024434609804302454,seq,8583.0,1721412594214502600
1721412612040,left,acc,-1.5131354331970215,-3.9408559799194336,8.786720275878906,seq,8584.0,1721412594227128700
1721412612042,left,gyro,0.01710422709584236,-0.00366519158706069,-0.009773843921720982,seq,8584.0,1721412594230254300
1721412612063,left,acc,-1.482010841369629,-3.912125587463379,8.877699851989746,seq,8585.0,1721412594251250700
1721412612066,left,gyro,0.03176499158143997,0.0012217304902151227,-0.006108652334660292,seq,8585.0,1721412594266261900
1721412612086,left,acc,-1.50355863571167,-3.869029998779297,8.887276649475098,seq,8586.0,1721412594271185600
1721412612087,left,gyro,0.036651913076639175,0.0024434609804302454,-0.006108652334660292,seq,8586.0,1721412594281243700
1721412612099,left,acc,-1.5705963373184204,-3.9863457679748535,8.798690795898438,seq,8587.0,1721412594287235500
1721412612101,left,gyro,0.02932153269648552,-0.006108652334660292,-0.00366519158706069,seq,8587.0,1721412594304188400
1721412612121,left,acc,-1.5203180313110352,-3.974374771118164,8.829815864562988,seq,8588.0,1721412594315226900
1721412612129,left,gyro,0.05253441259264946,0.0012217304902151227,0.0024434609804302454,seq,8588.0,1721412594319286400
1721412612139,left,acc,-1.5442601442337036,-3.909731388092041,8.868123054504395,seq,8589.0,1721412594323260300
1721412612140,left,gyro,0.05619960278272629,-0.0024434609804302454,0.0012217304902151227,seq,8589.0,1721412594329911000
1721412612160,left,acc,-1.6328455209732056,-3.9408559799194336,8.832210540771484,seq,8590.0,1721412594345983900
1721412612161,left,gyro,0.05619960278272629,-0.012217304669320583,0.012217304669320583,seq,8590.0,1721412594349908400
1721412612182,left,acc,-1.522712230682373,-3.8738183975219727,8.841787338256836,seq,8591.0,1721412594370239500
1721412612184,left,gyro,0.09040805697441101,0.0012217304902151227,0.012217304669320583,seq,8591.0,1721412594379242000
1721412612199,left,acc,-1.5107412338256836,-3.847482204437256,8.868123054504395,seq,8592.0,1721412594387234600
1721412612201,left,gyro,0.09651670604944229,0.0024434609804302454,0.00855211354792118,seq,8592.0,1721412594399148300
1721412612220,left,acc,-1.556231141090393,-3.8139634132385254,8.834604263305664,seq,8593.0,1721412594405136500
1721412612221,left,gyro,0.08796459436416626,0.00366519158706069,0.018325956538319588,seq,8593.0,1721412594413545400
1721412612239,left,acc,-1.4891934394836426,-3.7876269817352295,8.846575736999512,seq,8594.0,1721412594427031900
1721412612241,left,gyro,0.05253441259264946,0.0024434609804302454,0.030543262138962746,seq,8594.0,1721412594434046700
1721412612261,left,acc,-1.50355863571167,-3.7708675861358643,8.860940933227539,seq,8595.0,1721412594448056000
1721412612263,left,gyro,0.04642575979232788,-0.006108652334660292,0.03420845419168472,seq,8595.0,1721412594453177600
1721412612281,left,acc,-1.4413094520568848,-3.8331170082092285,8.892065048217773,seq,8596.0,1721412594468051500
1721412612283,left,gyro,0.05864306539297104,0.004886921960860491,0.03298672288656235,seq,8596.0,1721412594473145900
1721412612299,left,acc,-1.5155296325683594,-3.804386615753174,8.880094528198242,seq,8597.0,1721412594484194400
1721412612300,left,gyro,0.08552113175392151,0.01466076634824276,0.021991148591041565,seq,8597.0,1721412594487149600
1721412612320,left,acc,-1.5155296325683594,-3.7014358043670654,8.848969459533691,seq,8598.0,1721412594518286700
1721412612321,left,gyro,0.08429940044879913,0.02687807008624077,0.025656340643763542,seq,8598.0,1721412594521213600
1721412612340,left,acc,-1.5921441316604614,-3.801992416381836,8.93037223815918,seq,8599.0,1721412594529957500
