OBS Stamps,Watch Time,wrist_position,value_X_Axis,value_Y_Axis,value_Z_Axis,seq,seq_num
1721412523533333333,1.7214125235276155e+18,right,0.2260201424360275,-0.2504547536373138,0.180816113948822,seq,5368.0
1721412523566666666,1.7214125235276155e+18,right,0.2260201424360275,-0.2504547536373138,0.180816113948822,seq,5368.0
1721412523600000000,1.7214125235276155e+18,right,0.2260201424360275,-0.2504547536373138,0.180816113948822,seq,5368.0
1721412523633333333,1.7214125235276155e+18,right,0.2260201424360275,-0.2504547536373138,0.180816113948822,seq,5368.0
1721412523666666666,1.7214125235276155e+18,right,0.2260201424360275,-0.2504547536373138,0.180816113948822,seq,5368.0
1721412523700000000,1.7214125235276155e+18,right,0.2260201424360275,-0.2504547536373138,0.180816113948822,seq,5368.0
1721412523733333333,1.7214125235276155e+18,right,0.2260201424360275,-0.2504547536373138,0.180816113948822,seq,5368.0
1721412523766666666,1.7214125235276155e+18,right,0.2260201424360275,-0.2504547536373138,0.180816113948822,seq,5368.0
1721412523800000000,1.7214125237888993e+18,right,0.0806342139840126,-0.1857030391693115,0.140499010682106,seq,5370.0
1721412523833333333,1.7214125238299026e+18,right,0.0293215326964855,-0.1795943826436996,0.0842994004487991,seq,5372.0
1721412523866666666,1.7214125238521836e+18,right,0.0561996027827262,-0.1429424732923507,0.0891863256692886,seq,5374.0
1721412523900000000,1.7214125238968676e+18,right,0.0219911485910415,-0.098960168659687,0.0464257597923278,seq,5376.0
1721412523933333333,1.7214125239329303e+18,right,-0.0146607663482427,-0.0769690200686454,0.0452040284872055,seq,5378.0
1721412523966666666,1.7214125239618967e+18,right,-0.0647517144680023,-0.067195177078247,0.0390953756868839,seq,5381.0
1721412524000000000,1.7214125239866166e+18,right,-0.0207694191485643,-0.0745255574584007,0.0452040284872055,seq,5383.0
1721412524033333333,1.7214125240276163e+18,right,-0.0293215326964855,-0.0623082555830478,0.0574213340878486,seq,5386.0
1721412524066666666,1.7214125240545846e+18,right,0.0122173046693205,-0.0781907513737678,0.0794124826788902,seq,5389.0
1721412524100000000,1.72141252407173e+18,right,0.0171042270958423,-0.0635299831628799,0.0781907513737678,seq,5390.0
1721412524133333333,1.72141252412785e+18,right,-0.0232128798961639,-0.058643065392971,0.0708603709936142,seq,5393.0
1721412524166666666,1.721412524160858e+18,right,0.0366519130766391,-0.0733038261532783,0.0745255574584007,seq,5395.0
1721412524200000000,1.7214125241886428e+18,right,0.0561996027827262,-0.0842994004487991,0.0842994004487991,seq,5396.0
1721412524233333333,1.7214125242326346e+18,right,0.0500909499824047,-0.0830776765942573,0.0977384373545646,seq,5399.0
1721412524266666666,1.721412524246574e+18,right,0.0036651915870606,-0.0842994004487991,0.090408056974411,seq,5400.0
1721412524300000000,1.7214125242893778e+18,right,0.0855211317539215,-0.1429424732923507,0.0855211317539215,seq,5402.0
